1	É	ser	v	v-fin	PR|3S|IND	0	STA	_	_
2	uma	um	num	num	<card>|F|S	1	SC	_	_
3	de	de	prp	prp	<sam->	2	A<	_	_
4	as	o	art	art	<-sam>|<artd>|P	7	>N	_	_
5	mais	mais	adv	adv	<quant>	6	>A	_	_
6	antigas	antigo	adj	adj	F|P	7	>N	_	_
7	discotecas	discoteca	n	n	F|P	3	P<	_	_
8	de	de	prp	prp	<sam->	7	N<	_	_
9	o	o	art	art	<-sam>|<artd>|M|S	10	>N	_	_
10	Algarve	Algarve	prop	prop	F|S	8	P<	_	_
11	,	,	punc	punc	_	2	PUNC	_	_
12	situada	situar	v	v-pcp	F|S	2	A<	_	_
13	em	em	prp	prp	_	12	ADVL	_	_
14	Albufeira	Albufeira	prop	prop	F|S	13	P<	_	_
15	,	,	punc	punc	_	2	PUNC	_	_
16	que	que	pron	pron-indp	<rel>|F|S	17	SUBJ	_	_
17	continua	continuar	v	v-fin	PR|3S|IND	2	A<	_	_
18	a	a	prp	prp	_	17	PRT-AUX<	_	_
19	manter	manter	v	v-inf	_	17	MV	_	_
20	os	o	art	art	<artd>|M|P	21	>N	_	_
21	traços	traço	n	n	M|P	19	ACC	_	_
22	decorativos	decorativo	adj	adj	M|P	21	N<	_	_
23	e	e	conj	conj-c	<co-acc>	21	CO	_	_
24	as	o	art	art	<artd>|F|P	25	>N	_	_
25	clientelas	clientela	n	n	F|P	21	CJT	_	_
26	de	de	prp	prp	_	25	N<	_	_
27	sempre	sempre	adv	adv	_	26	P<	_	_
28	.	.	punc	punc	_	1	PUNC	_	_

1	Законността	_	N	Nc	gen=f|num=s|def=d	5	subj	4	adjunct
2	на	_	R	R	_	1	mod	1	mod
3	изборите	_	N	Nc	gen=m|num=p|def=d	2	prepcomp	2	prepcomp
4	може	_	V	Vni	imtrans=i|mood=i|tense=r|pers=3|num=s	0	ROOT	0	ROOT
5	да	_	T	Tx	_	4	xcomp	4	xcomp
6	се	_	P	Pp	ref=r|form=s|case=a	5	comp	5	comp
7	оспори	_	V	Vpp	aspect=p|trans=t|mood=i|tense=r|pers=3|num=s	5	comp	5	comp
8	пред	_	R	R	_	5	indobj	5	indobj
9	Конституционния	_	A	Am	gen=m|num=s|def=h	10	mod	10	mod
10	съд	_	N	Nc	gen=m|num=s|def=i	8	prepcomp	8	prepcomp

1	Einer	_	PIS	PIS	_	10	PD	10	PD
2	,	_	$,	$,	_	1	PUNC	1	PUNC
3	der	_	PRELS	PRELS	_	8	SB	8	SB
4	sich	_	PRF	PRF	_	8	OA	8	OA
5	für	_	APPR	APPR	_	8	MO	8	MO
6	den	_	ART	ART	_	5	NK	5	NK
7	Milliardär	_	NN	NN	_	5	NK	5	NK
8	ausspricht	_	VVFIN	VVFIN	_	1	RC	1	RC
9	,	_	$,	$,	_	10	PUNC	10	PUNC
10	ist	_	VAFIN	VAFIN	_	0	ROOT	0	ROOT
11	Steve	_	NE	NE	_	25	NK	25	NK
12	Jobs	_	NE	NE	_	11	PNC	11	PNC
13	,	_	$,	$,	_	25	PUNC	25	PUNC
14	dem	_	PRELS	PRELS	_	25	DA	25	DA
15	Perot	_	NE	NE	_	25	SB	25	SB
16	für	_	APPR	APPR	_	25	MO	25	MO
17	den	_	ART	ART	_	16	NK	16	NK
18	Aufbau	_	NN	NN	_	16	NK	16	NK
19	der	_	ART	ART	_	20	NK	20	NK
20	Computerfirma	_	NN	NN	_	16	AG	16	AG
21	Next	_	NE	NE	_	20	NK	20	NK
22	20	_	CARD	CARD	_	23	NMC	23	NMC
23	Millionen	_	NN	NN	_	24	NK	24	NK
24	Dollar	_	NN	NN	_	25	OA	25	OA
25	bereitstellte	_	VVFIN	VVFIN	_	10	SB	10	SB
26	.	_	$.	$.	_	10	PUNC	10	PUNC
